year,month,date,created_at,category_code,bunrui_code,bunrui_name,date_bunrui_key,amount,memo
2022,9,15,2022/9/15,G,15,通信費,2022091515,4158,
2022,9,15,2022/9/15,C,16,ガス代,2022091516,4167,
2022,9,15,2022/9/15,G,17,家賃,2022091517,87440,
2022,9,15,2022/9/15,C,18,水道代,2022091518,3102,
2022,9,15,2022/9/15,D,19,ガソリン・ETC,2022091519,6272,
2022,9,15,2022/9/15,D,20,車維持費,2022091520,0,
2022,10,15,2022/10/15,A,01,みこ収入,2022101501,86036,
2022,10,15,2022/10/15,A,02,りさ収入,2022101502,43945,
2022,10,15,2022/10/15,A,03,臨時収入,2022101503,25000,
2022,10,15,2022/10/15,B,10,食費,2022101510,28207,
2022,10,15,2022/10/15,B,11,外食費,2022101511,18769,
2022,10,15,2022/10/15,E,12,日用品,2022101512,31692,
2022,10,15,2022/10/15,F,13,行楽費,2022101513,0,
2022,10,15,2022/10/15,Z,99,その他,2022101599,22949,布団とストーブ購入
2022,10,15,2022/10/15,C,14,電気代,2022101514,6895,
2022,10,15,2022/10/15,G,15,通信費,2022101515,4158,
2022,10,15,2022/10/15,C,16,ガス代,2022101516,4004,
2022,10,15,2022/10/15,G,17,家賃,2022101517,87440,
2022,10,15,2022/10/15,C,18,水道代,2022101518,0,
2022,10,15,2022/10/15,D,19,ガソリン・ETC,2022101519,13015,
2022,10,15,2022/10/15,D,20,車維持費,2022101520,0,
2022,11,15,2022/11/15,A,01,みこ収入,2022111501,92049,
2022,11,15,2022/11/15,A,02,りさ収入,2022111502,70039,
2022,11,15,2022/11/15,A,03,臨時収入,2022111503,25000,
2022,11,15,2022/11/15,B,10,食費,2022111510,29686,
2022,11,15,2022/11/15,B,11,外食費,2022111511,26272,
2022,11,15,2022/11/15,E,12,日用品,2022111512,12539,
2022,11,15,2022/11/15,F,13,行楽費,2022111513,0,
2022,11,15,2022/11/15,Z,99,その他,2022111599,4577,
2022,11,15,2022/11/15,C,14,電気代,2022111514,5051,
2022,11,15,2022/11/15,G,15,通信費,2022111515,4158,
2022,11,15,2022/11/15,C,16,ガス代,2022111516,4897,
2022,11,15,2022/11/15,G,17,家賃,2022111517,87440,
2022,11,15,2022/11/15,C,18,水道代,2022111518,2574,
2022,11,15,2022/11/15,D,19,ガソリン・ETC,2022111519,7919,
2022,11,15,2022/11/15,D,20,車維持費,2022111520,0,
